id,feature_name,feature_type,lon,lat
9606,Avent Ferry Rd at Gorman St (WB),Bus Stop,-78.6945725674244,35.7683489551086
8031,Poole Rd at Old Poole Rd (EB),Bus Stop,-78.5555735135325,35.7624532189692
8988,Poole Rd at Woodard St (EB),Bus Stop,-78.5390001454111,35.7554990917255
8050,Barwell Rd at Charles St,Bus Stop,-78.5355682588993,35.7527793075627
8055,Barwell at Damon IB,Bus Stop,-78.5365120303647,35.7454153697356
8093,Barwell Rd at Neals Creek Dr,Bus Stop,-78.5427716987753,35.7406386058778
8102,Barwell Rd at Barwell Park Dr (NB),Bus Stop,-78.5551389957346,35.7322946842995
8198,Rock Quarry Rd at Kasota Ln,Bus Stop,-78.5603261933752,35.73331314483
8200,Rock Quarry at Riverbrooke OB,Bus Stop,-78.5762855315589,35.7426013330463
8209,Rock Quarry Rd at Sunnybrook Rd (NB),Bus Stop,-78.5867971085672,35.746787618567
8214,Rock Quarry at Sanderford,Bus Stop,-78.6119294082216,35.7507712444666
8087,Blue Ridge Rd at District Dr (Northbound),Bus Stop,-78.7062247569085,35.8064448534086
8257,Bell Dr at Edison Rd,Bus Stop,-78.5838991021381,35.7658649103448
8262,Beverly Dr at Friar Tuck Rd,Bus Stop,-78.5944301815712,35.7692801420322
8264,Western Blvd at Powell Dr ,Bus Stop,-78.7129250606441,35.786634937133
8275,Hillsborough St at Western Blvd,Bus Stop,-78.7178274348475,35.7871552157936
8322,Garner Rd at Hilltop Dr (SB),Bus Stop,-78.630943000405,35.741376000076
8423,Garner Rd at Hilltop Dr (NB),Bus Stop,-78.6308193230516,35.7415331657137
8406,Garner Rd at Tryon Rd (NB),Bus Stop,-78.6277469994399,35.7327309994902
8336,Garner Rd at Yeargan Rd (SB),Bus Stop,-78.6240740002456,35.716883999497
1926,Vandora Springs Rd at Beichler Rd,Bus Stop,-78.6247509993898,35.7088290000645
8342,Aversboro Rd at Brooks Ave,Bus Stop,-78.6184989998968,35.7028340002577
8347,Heather Park Dr at Gulley Glen Dr,Bus Stop,-78.6128080000954,35.693632000229
1922,Aversboro Rd at Claymore Dr,Bus Stop,-78.6170680007172,35.6897199999529
8428,Timber Dr at White Oak Rd,Bus Stop,-78.5921009991598,35.687730999423
8394,Garner Rd at Creech Rd (Dog Park),Bus Stop,-78.6024440001186,35.7062500003247
8551,New Bern Ave at Raleigh Beach Rd,Bus Stop,-78.552608999433,35.7961879998301
8432,Knightdale Blvd at Hodge Rd (EB),Bus Stop,-78.5195730039052,35.7951384523425
8492,Knightdale Blvd at Shoppes at Midway (Chili's),Bus Stop,-78.5083625699452,35.7964180609657
8433,Knightdale Blvd at Hinton Oaks Blvd (Rex Healthcare),Bus Stop,-78.5079875709248,35.7961330614119
8489,Knightdale Blvd at Mammoth Dr,Bus Stop,-78.496760338469,35.7991170762124
8448,Knightdale Blvd at Parkside Commons Dr,Bus Stop,-78.4957710597792,35.7985332650769
1905,McKnight Dr at Village Park Dr (NB),Bus Stop,-78.4920859998038,35.7969869997808
8483,McKnight Dr at Electric Ave (WB),Bus Stop,-78.4883720212628,35.7937666571843
9094,Avent Ferry at Greek Way,Bus Stop,-78.6984032236461,35.7668929206887
8709,Timber Dr East at Benson St,Bus Stop,-78.5997800102109,35.6862582420201
8711,Timber Dr at Aversboro Rd,Bus Stop,-78.6162429241799,35.6863250230887
1921,Aversboro Dr at Claymore Dr B,Bus Stop,-78.6169631098314,35.6890237714311
1925,Vandora Springs Rd at Beichler Rd,Bus Stop,-78.6243450300517,35.7090380044845
8768,Vandora Springs Rd at Methodist Dr,Bus Stop,-78.6208394534701,35.7121586264432
8339,Vandora Springs Rd at Garner Rd,Bus Stop,-78.6211719675674,35.7121544404407
8710,Garner Rd at Wilson St OB,Bus Stop,-78.6280114095607,35.7349964500645
9508,Glenbrook Dr at Belmont Dr,Bus Stop,-78.6037698946133,35.7667148610294
9095,Avent Ferry Rd at Gorman St,Bus Stop,-78.6945524020429,35.7681713272919
9075,Powell Dr at Driftwood Dr,Bus Stop,-78.7128653298642,35.7817996800032
8765,Rock Quarry Rd at Gatling St,Bus Stop,-78.6221381856056,35.7754323531748
9251,Martin Luther King Jr Blvd at Glenbrook Dr (EB),Bus Stop,-78.6009708942066,35.7720377125081
9445,Hillsborough St at Dixie Trl (EB),Bus Stop,-78.6754929715256,35.7893287196867
9680,Blue Ridge Rd at Hillcrest,Bus Stop,-78.6815410022451,35.8326688433099
8812,Rock Quarry Rd at Keyser St,Bus Stop,-78.5644253192044,35.736298905445
8773,Timber Dr East at Shenstone Blvd SB,Bus Stop,-78.5802819691712,35.6895205938903
8775,Timber Dr East at Health Park Dr SB,Bus Stop,-78.5762592100227,35.6869844465663
8779,Timber Dr East at Health Park Dr NB,Bus Stop,-78.5753460716381,35.6861752024739
8802,Deep Hollow Dr at St Giles St (WB),Bus Stop,-78.7076273037482,35.8529464903048
8902,S State St at Bunche Dr (SB),Bus Stop,-78.6214480791431,35.7530141178971
8886,W Morgan St at Mayo St (IB),Bus Stop,-78.6538632364015,35.7798671880346
8939,Bastion Ln at Maitland Dr,Bus Stop,-78.5844145698212,35.7978624324601
8986,Sunnybrook Rd at Holston Ln (NB),Bus Stop,-78.584135185683,35.7851642527262
8984,Knightdale Blvd at Carolinian Ave,Bus Stop,-78.4704123674907,35.8016609216338
8919,Upward Dr at Inspiration Cir,Bus Stop,-78.4171331937812,35.8065237712926
8874,N New Hope Rd at Lake Woodard Dr,Bus Stop,-78.5627933456557,35.8001846289889
9212,S New Hope Rd at Rogers Ln (NB),Bus Stop,-78.5588323068066,35.7703057085781
9214,N New Hope Rd at Global St (NB),Bus Stop,-78.5620714961545,35.7809669365977
9215,N New Hope Rd at Durach Rd (NB),Bus Stop,-78.5604635118501,35.7866715649043
9216,N New Hope Rd at Duke Energy (NB),Bus Stop,-78.5614203899163,35.7920276788076
8206,Hillsborough St at Etta Burke Ct,Bus Stop,-78.7179057151293,35.7880931188252
9252,Gorman St at Kaplan Dr (WB),Bus Stop,-78.6927355080448,35.7731166607357
9448,Raleigh Blvd at Crabtree Blvd (OB),Bus Stop,-78.6080576292201,35.8030633968155
8616,N Raleigh Blvd at Appliance Ct (SB),Bus Stop,-78.5997261170597,35.8112514260912
8828,Raleigh Blvd at Park Glen Dr (IB),Bus Stop,-78.6088595920648,35.8007574772374
8860,Raleigh Blvd at Millbank St (IB),Bus Stop,-78.6108283563514,35.7970212077622
